	deal.id	target.country	inv.country	production.size	crop	lat	long
284	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.910115	31.395
285	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.910115	31.770519
286	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.910115	33.7519444
287	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5633333	31.395
288	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5633333	31.770519
289	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Eucalyptus	0.5633333	33.7519444
290	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5575	31.395
291	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5575	31.770519
292	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5575	33.7519444
293	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.910115	31.395
294	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.910115	31.770519
295	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.910115	33.7519444
296	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5633333	31.395
297	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5633333	31.770519
298	3017	Uganda	United Kingdom of Great Britain and Northern Ireland	577.7777777778	Pine	0.5633333	33.7519444
299	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.2306427	36.954107
300	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.2306427	37.1258593
301	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.2306427	36.9371409
302	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.0677121	36.954107
303	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.0677121	37.1258593
304	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-8.0677121	36.9371409
305	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-7.319206	36.954107
306	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-7.319206	37.1258593
307	3021	United Republic of Tanzania	United States of America, Finland	527.5555555556	Teak	-7.319206	36.9371409
308	3023	Mozambique	South Africa	42.8571428571	Citrus Fruits	-19.2307542734	33.1492627434
309	3023	Mozambique	South Africa	42.8571428571	Pepper	-19.2307542734	33.1492627434
310	3023	Mozambique	South Africa	42.8571428571	Banana	-19.2307542734	33.1492627434
311	3023	Mozambique	South Africa	42.8571428571	Bean	-19.2307542734	33.1492627434
312	3023	Mozambique	South Africa	42.8571428571	Eucalyptus	-19.2307542734	33.1492627434
313	3023	Mozambique	South Africa	42.8571428571	Fruit	-19.2307542734	33.1492627434
314	3023	Mozambique	South Africa	42.8571428571	Vegetables	-19.2307542734	33.1492627434
315	3037	Mozambique	India	2000	Tea	-15.4666667	36.9833333
316	3038	Mozambique	India	250	Tea	-15.4666667	36.9833333
317	3038	Mozambique	India	250	Eucalyptus	-15.4666667	36.9833333
318	3041	Mozambique	United States of America	160	Soya Beans	-15.4666667	36.9833333
319	3075	Nigeria	France, Nigeria, Côte d'Ivoire	12000	Rubber	9.0833333	3.85
320	3123	Zambia	South Africa, Germany	8	Jatropha	-11.83663	31.460951
